DATE,T2M1,T2M,T2M_MIN,QV2M,PRECTOTCORR,PS,WS10M_MAX,WS10M_MIN,WS10M
30-06-2000,32.01,36.59,27.69,18.43,3.4,99.26,4.76,0.66,2.55
01-07-2000,32.41,36.12,28.92,18.55,0.5,99.28,4.69,0.62,2.97
02-07-2000,31.83,36.79,27.75,18.07,0.67,99.42,5.63,2.55,3.77
03-07-2000,30.66,34.36,27.56,19.59,17,99.46,5.1,1.36,2.62
04-07-2000,31.08,35.65,27.58,19.35,4.54,99.41,4.9,0.38,3.16
05-07-2000,32.22,36.99,27.19,18.68,0.62,99.45,5.94,1.68,3.3
06-07-2000,31.97,36.95,27.69,18.68,0.04,99.47,6.8,3.34,5.16
07-07-2000,32.12,37.33,27.48,18.13,0.05,99.38,6.61,3.06,4.82
08-07-2000,32.11,37.33,27.52,18.49,3.2,99.27,6.13,2.53,4.14
09-07-2000,30.87,34.92,27.63,18.86,3.91,99.15,4.9,0.78,3.47
10-07-2000,30.13,33.7,26.76,18.98,2.56,99.17,4.87,1.67,3.61
11-07-2000,30.26,34.44,27.14,18.43,0.59,99.13,4.71,2.08,3.45
12-07-2000,31.4,37.19,26.54,18.25,2.31,99.07,8.04,1.41,4.2
13-07-2000,27.26,28.21,26.04,20.02,177.71,98.92,10.33,7.48,8.99
14-07-2000,27.09,28.77,25.78,20.87,76.06,99.06,10.02,4.7,7.27
15-07-2000,26.93,29.59,24.9,19.84,44.55,99.26,9.15,6.04,7.83
16-07-2000,27.55,31.48,24.69,19.47,3.27,99.35,8.57,4.09,6.3
17-07-2000,27.59,31.78,24.8,19.59,0.98,99.38,6.2,3.77,4.94
18-07-2000,28.22,33.04,24.83,19.53,1.87,99.34,7.36,3.6,5.22
19-07-2000,27.62,30.94,24.79,19.29,2.31,99.35,6.37,2.45,4.51
20-07-2000,27.98,32.97,24.22,18.92,0.27,99.44,7.55,3.41,5.55
21-07-2000,27.67,32.55,24.31,18.25,0.07,99.61,7.33,4.29,5.82
22-07-2000,27.48,32.59,23.63,17.82,0.06,99.87,7.5,3.74,5.54
23-07-2000,27.41,32.72,23.45,17.76,0.02,99.88,6.97,3.52,5.16
24-07-2000,27.58,33.3,23.28,17.46,0,99.8,6.8,3.27,4.84
25-07-2000,27.62,33.4,22.96,17.82,0,99.92,6.48,2.72,4.69
26-07-2000,27.8,33.35,22.82,18.01,0,99.9,5.51,2.51,4.12
27-07-2000,28.13,33.14,23.63,18.31,0,99.76,4.89,2.35,3.66
28-07-2000,27.14,30.52,24.48,18.68,0,99.76,5.23,1.77,3.38
29-07-2000,28.22,32.4,24.62,18.74,0,99.8,4.84,1.87,3.33
30-07-2000,28.08,32.33,24.44,18.62,0,99.92,5.4,2.14,3.84
31-07-2000,28.17,33.64,24.05,18.07,0,99.79,5.83,3.17,4.82
01-08-2000,28.12,33.33,24.01,17.94,0,99.69,6.05,3.26,4.75
02-08-2000,28.48,34.41,24.14,17.76,0,99.8,7.7,3.69,5.7
03-08-2000,28.55,34.57,23.74,17.88,0,99.87,6.04,3.03,4.62
04-08-2000,28.68,34.44,23.44,17.94,0,99.96,5.32,2.27,3.72
05-08-2000,28.94,34.23,24.13,18.01,0,99.95,4.8,1.54,3.41
06-08-2000,28.85,33.98,23.8,17.7,0,99.85,4.74,1.55,3.04
07-08-2000,29.18,34.62,24.08,18.01,0,99.82,3.81,1.88,3.03
08-08-2000,29.48,34.66,24.3,18.19,0,99.82,5.42,1.85,3.21
09-08-2000,29.4,34.88,24.55,18.19,0,99.65,5.16,2.41,3.52
10-08-2000,28.96,33.08,25.46,19.53,18.98,99.42,3.62,0.16,2.52
11-08-2000,28.83,33.5,25.01,20.14,4.55,99.3,4.78,1.25,3.48
12-08-2000,28,30.44,25.87,21.06,13.72,99.45,5.31,0.4,2.6
13-08-2000,28.48,33.49,24.65,19.04,6.55,99.91,5.7,3.27,4.73
14-08-2000,27.03,30.48,24.55,19.1,29.09,99.99,6.59,3.21,4.95
15-08-2000,26.44,30.09,24.07,18.62,4.65,99.94,5.7,3.09,4.51
16-08-2000,27.59,32.13,24.05,18.55,0.76,99.91,6.62,3.36,4.88
17-08-2000,28.52,33.83,24.32,18.68,0.06,99.71,6.55,2.84,5.03
18-08-2000,28.18,33.76,24.12,18.37,0,99.67,5.26,2.73,4.16
19-08-2000,28.58,33.69,23.62,18.37,0,99.72,6.06,1.68,3.32
20-08-2000,28.02,31.63,24.26,18.49,0.09,99.71,5.71,1.69,3.41
21-08-2000,28.61,32.76,24.62,19.29,0.08,99.51,5.6,1.23,2.55
22-08-2000,28.19,31.87,24.96,19.23,0.01,99.52,5.13,0.55,2.62
23-08-2000,29.1,32.48,25.48,20.02,3.53,99.5,3.78,0.52,2.57
24-08-2000,29.78,32.81,26.86,21.79,10.32,99.28,2.89,1.1,2.14
25-08-2000,30.31,34.2,26.69,22.22,3.29,99.12,5.16,1.9,3.36
26-08-2000,29.44,33.63,26.05,20.57,0.32,99.29,7.47,4.7,6.05
27-08-2000,28.72,33.29,25.37,19.53,0.06,99.64,4.42,2.9,3.88
28-08-2000,29.32,34.37,24.82,19.41,1.75,99.61,5.8,2,3.43
29-08-2000,28.83,33.59,25.16,18.86,1.74,99.59,5.68,3.23,4.91
30-08-2000,28.87,34.78,24.4,18.07,0.83,99.6,7.41,2.88,5.73
31-08-2000,29.07,35.37,24.03,18.07,0.34,99.55,7.23,3.23,5.6
01-09-2000,29.46,35.89,24.17,17.88,0.02,99.59,6.24,2.77,4.48
02-09-2000,29.7,36.03,23.98,17.52,0,99.64,4.99,2.03,3.71
03-09-2000,29.48,35.21,24.17,17.27,0.04,99.73,4.7,1.57,2.99
04-09-2000,29.49,34.8,24.32,16.97,0.1,99.87,5.18,1,3.18
05-09-2000,28.87,33.16,24.96,17.27,2.91,99.89,5.9,2.02,4.05
06-09-2000,29.23,35.21,24.41,16.42,0.03,99.76,5.24,2.15,3.74
07-09-2000,29.3,34.93,24.38,16.11,0.01,99.85,5.17,2.09,3.56
08-09-2000,29.23,35.54,23.48,15.5,0.02,100.05,3.99,1.87,3.25
09-09-2000,29.48,36.09,23.65,15.38,0,100.09,5.59,2.27,4.05
10-09-2000,29.43,36.3,23.21,15.5,0,100,5.52,2.64,3.99
11-09-2000,29.4,35.93,23.41,15.14,0,99.99,4.85,2.28,3.45
12-09-2000,29.51,35.98,23.46,15.2,0,100.09,4.34,1.53,2.81
13-09-2000,29.65,35.58,23.9,15.01,0,100.23,4.08,1.3,2.19
14-09-2000,30.58,37.34,23.81,13.98,0,100.14,3.56,0.19,1.87
15-09-2000,30.36,37.33,23.63,13.61,0,100.01,4.76,1.58,2.8
16-09-2000,30.06,37.42,23.61,13.61,0,100.07,4.84,2.13,3.61
17-09-2000,29.39,37.37,23.01,13,0,100.24,5.12,2.16,3.44
18-09-2000,29.12,36.41,22.69,13,0.01,100.13,5.2,1.49,3.3
19-09-2000,29.62,35.83,23.51,14.59,0.02,100.12,4.14,1.72,2.88
20-09-2000,30.51,37.07,24.11,14.22,0,100.17,3.52,0.51,2
21-09-2000,31.83,39.18,25.03,13.67,0,100.11,3.67,0.13,2.27
22-09-2000,32.96,40.02,26.9,14.71,0,100.16,3.65,2.13,2.8
23-09-2000,32.9,39.83,26.01,14.65,0.1,100.11,4.1,1.05,2.5
24-09-2000,31.91,37.8,26.08,15.81,0.11,100.11,2.86,1.38,2.1
25-09-2000,31.52,36.32,27.46,16.11,1.36,100.12,3.11,0.13,1.59
26-09-2000,32.93,39.68,26.3,14.53,0.01,100.11,2.85,0.9,1.82
27-09-2000,33.36,40.46,26.37,13.18,0,100.16,2.55,0.69,1.43
28-09-2000,32.84,40.74,25.09,12.57,0,100.08,2.86,0.15,1.65
29-09-2000,32.8,40.7,24.51,12.63,0,100.05,2.84,0.37,1.45
30-09-2000,32.45,40.76,24.27,12.63,0,100.02,4.14,0.48,2.07
01-10-2000,32.27,41.09,24.64,11.29,0,100.08,3.95,1.48,2.66
02-10-2000,32.98,41.59,26.01,9.64,0,100.16,3.66,0.7,2.15
03-10-2000,32.48,41.41,23.34,8.73,0,100.14,4.23,0.59,2.34
04-10-2000,32.14,40.42,23.44,11.05,0,100.15,3.93,0.96,2.12
05-10-2000,32.38,40.38,23.97,9.22,0,100.17,2.02,0.23,1.23
06-10-2000,32.16,40.91,24.32,11.11,0,100.17,3.6,0.24,1.45
07-10-2000,31.58,39.41,24.57,14.53,0,100.2,4.87,1.79,2.69
08-10-2000,32.02,38.81,27.07,14.77,0.27,100.19,6.57,0.54,3.01
09-10-2000,31.03,36.09,26.61,14.1,0.04,100.1,4.57,1.45,2.92
10-10-2000,31.87,38.46,25.23,12.45,0.05,100.17,3.2,0.2,1.42
11-10-2000,32.4,39.11,26.33,12.45,0.02,100.24,2.28,0.32,1.16
12-10-2000,33.18,39.79,26.97,13.12,0,100.25,3.02,0.19,1.16
13-10-2000,32.87,40.33,27.4,10.8,0,100.13,3.97,1.96,2.68
14-10-2000,32.04,39.51,26.16,10.5,0,100.13,3.93,2.09,2.97
15-10-2000,30.69,39.79,23.27,7.2,0.6,100.31,3.46,2.37,2.96
16-10-2000,29.45,40.01,19.93,4.7,0,100.39,4.15,1.64,2.67
17-10-2000,29.56,40.18,18.25,4.21,0,100.25,4.46,0.18,2.38
18-10-2000,28.93,40.1,18.74,4.58,0,100.09,4.43,1.01,2.43
19-10-2000,29.66,40.97,19.65,4.82,0,100.06,5.02,0.95,2.79
20-10-2000,30.69,41.28,19.55,3.91,0,100.17,3.67,0.67,2.27
21-10-2000,30.44,40.62,20.93,4.7,0,100.22,2.68,1.02,2.09
22-10-2000,29.8,39.95,19.99,6.23,0,100.13,3.09,1.15,2.45
23-10-2000,29.4,39.73,20.53,9.52,0,100.08,4.58,1.31,2.91
24-10-2000,29.78,38.36,21.32,9.95,0,100.33,3.09,0.34,1.94
25-10-2000,30.24,38.87,22.08,8.54,0,100.51,2.66,0.84,1.73
26-10-2000,29.81,39.53,21.11,5.31,0,100.47,3.83,1.6,2.68
27-10-2000,30.15,39.83,20.54,4.52,0,100.37,4,0.68,2.21
28-10-2000,29.08,39.69,19.55,3.66,0,100.47,4.3,0.84,2.43
29-10-2000,28.52,39.23,18.81,3.05,0,100.54,4.44,1.27,2.73
30-10-2000,27.74,38.93,18.26,3.23,0,100.53,4.3,1.74,2.98
31-10-2000,27.87,38.62,18.64,3.54,0,100.4,3.8,2.3,3.2
01-11-2000,27.86,38.14,19.03,3.72,0,100.47,3.9,1.25,2.88
02-11-2000,26.89,38.24,17.37,2.75,0,100.59,5,2.69,3.69
03-11-2000,27.59,38.08,18.55,3.78,0,100.76,5.56,2.28,3.81
04-11-2000,27.59,37.5,18.58,4.39,0,100.88,4.57,1.27,2.82
05-11-2000,27.8,37.64,20.01,3.85,0,100.7,4.24,1.66,3.08
06-11-2000,28.43,37.06,20.11,4.76,0,100.43,3.38,2,2.73
07-11-2000,29,37.08,20.34,5.92,0,100.49,2.72,0.36,1.57
08-11-2000,29.15,37.55,21.05,6.41,0,100.58,3.05,0.5,1.77
09-11-2000,29.21,38.12,21.63,6.41,0,100.57,4.02,1.74,2.82
10-11-2000,29.45,38.5,20.62,5,0,100.61,4.74,0.12,2.51
